"I","J","K"
"i7","j1","k28"
"i7","j2","k25"
"i7","j3","k9"
"i7","j3","k15"
"i7","j3","k19"
"i7","j4","k11"
"i7","j4","k28"
"i7","j5","k31"
"i7","j5","k32"
"i7","j6","k22"
"i7","j7","k11"
"i7","j8","k39"
"i7","j9","k23"
"i7","j10","k29"
"i7","j11","k12"
"i7","j12","k37"
"i7","j14","k30"
"i7","j15","k6"
"i7","j17","k6"
"i7","j17","k19"
"i7","j19","k18"
"i7","j19","k25"
"i7","j21","k1"
"i7","j25","k10"
"i7","j27","k8"
"i7","j27","k11"
"i7","j28","k40"
"i7","j31","k5"
"i7","j31","k10"
"i7","j31","k37"
"i7","j32","k12"
"i7","j32","k15"
"i7","j32","k24"
"i7","j32","k32"
"i7","j32","k34"
"i7","j32","k36"
"i7","j32","k38"
"i7","j33","k17"
"i7","j34","k38"
"i7","j38","k1"
"i7","j38","k9"
"i7","j39","k28"
"i7","j41","k10"
"i7","j41","k39"
"i7","j43","k6"
"i7","j43","k24"
"i7","j44","k33"
"i7","j46","k23"
"i7","j47","k1"
"i7","j48","k6"
"i7","j48","k12"
"i7","j50","k32"
"i8","j2","k17"
"i8","j2","k26"
"i8","j3","k30"
"i8","j4","k9"
"i8","j7","k15"
"i8","j7","k24"
"i8","j7","k28"
"i8","j10","k25"
"i8","j10","k38"
"i8","j11","k20"
"i8","j12","k21"
"i8","j13","k10"
"i8","j14","k15"
"i8","j14","k30"
"i8","j14","k33"
"i8","j16","k15"
"i8","j17","k18"
"i8","j19","k23"
"i8","j20","k18"
"i8","j20","k20"
"i8","j20","k23"
"i8","j20","k35"
"i8","j21","k33"
"i8","j22","k7"
"i8","j22","k22"
"i8","j26","k5"
"i8","j28","k39"
"i8","j30","k1"
"i8","j31","k39"
"i8","j33","k13"
"i8","j38","k36"
"i8","j39","k17"
"i8","j39","k24"
"i8","j39","k37"
"i8","j41","k4"
"i8","j41","k29"
"i8","j42","k20"
"i8","j43","k35"
"i8","j44","k28"
"i8","j45","k35"
"i8","j46","k6"
"i8","j46","k37"
"i8","j47","k3"
"i8","j47","k21"
"i8","j48","k5"
"i8","j48","k33"
"i8","j49","k13"
"i8","j50","k20"
"i9","j1","k37"
"i9","j2","k24"
"i9","j9","k13"
"i9","j10","k30"
"i9","j11","k1"
"i9","j13","k9"
"i9","j14","k12"
"i9","j17","k12"
"i9","j17","k13"
"i9","j17","k27"
"i9","j18","k26"
"i9","j19","k9"
"i9","j19","k11"
"i9","j20","k7"
"i9","j20","k16"
"i9","j21","k1"
"i9","j22","k21"
"i9","j23","k1"
"i9","j23","k30"
"i9","j24","k35"
"i9","j27","k8"
"i9","j28","k12"
"i9","j30","k35"
"i9","j31","k7"
"i9","j31","k15"
"i9","j32","k10"
"i9","j33","k28"
"i9","j34","k31"
"i9","j36","k12"
"i9","j37","k4"
"i9","j37","k27"
"i9","j41","k20"
"i9","j41","k21"
"i9","j43","k24"
"i9","j45","k16"
"i9","j45","k22"
"i9","j46","k37"
"i9","j47","k5"
"i9","j47","k21"
"i9","j50","k37"
"i10","j3","k17"
"i10","j4","k4"
"i10","j4","k5"
"i10","j4","k31"
"i10","j5","k6"
"i10","j8","k17"
"i10","j8","k31"
"i10","j9","k28"
"i10","j10","k26"
"i10","j10","k28"
"i10","j13","k31"
"i10","j13","k36"
"i10","j13","k37"
"i10","j18","k20"
"i10","j18","k29"
"i10","j21","k17"
"i10","j25","k19"
"i10","j25","k28"
"i10","j26","k15"
"i10","j27","k22"
"i10","j28","k40"
"i10","j29","k9"
"i10","j29","k19"
"i10","j29","k21"
"i10","j32","k31"
"i10","j34","k7"
"i10","j36","k33"
"i10","j36","k40"
"i10","j38","k22"
"i10","j38","k25"
"i10","j40","k12"
"i10","j41","k16"
"i10","j42","k12"
"i10","j43","k24"
"i10","j44","k1"
"i10","j44","k16"
"i10","j44","k40"
"i10","j45","k25"
"i10","j46","k29"
"i10","j48","k26"
"i10","j49","k35"
"i10","j50","k7"
"i10","j50","k27"
"i10","j50","k38"
"i11","j2","k13"
"i11","j2","k20"
"i11","j3","k1"
"i11","j4","k8"
"i11","j6","k29"
"i11","j7","k9"
"i11","j13","k5"
"i11","j17","k12"
"i11","j19","k7"
"i11","j20","k4"
"i11","j20","k14"
"i11","j20","k30"
"i11","j22","k27"
"i11","j25","k6"
"i11","j26","k34"
"i11","j29","k18"
"i11","j29","k31"
"i11","j30","k7"
"i11","j30","k21"
"i11","j30","k27"
"i11","j32","k38"
"i11","j33","k13"
"i11","j35","k3"
"i11","j35","k33"
"i11","j37","k29"
"i11","j37","k35"
"i11","j37","k37"
"i11","j38","k15"
"i11","j38","k33"
"i11","j39","k12"
"i11","j39","k20"
"i11","j42","k20"
"i11","j43","k25"
"i11","j45","k4"
"i11","j46","k14"
"i11","j46","k29"
"i12","j1","k32"
"i12","j6","k2"
"i12","j7","k35"
"i12","j7","k38"
"i12","j8","k35"
"i12","j9","k15"
"i12","j10","k3"
"i12","j10","k18"
"i12","j10","k19"
"i12","j14","k32"
"i12","j16","k23"
"i12","j17","k11"
"i12","j18","k12"
"i12","j18","k37"
"i12","j19","k36"
"i12","j20","k15"
"i12","j22","k17"
"i12","j23","k6"
"i12","j23","k37"
"i12","j23","k40"
"i12","j24","k37"
"i12","j27","k15"
"i12","j27","k24"
"i12","j28","k30"
"i12","j29","k26"
"i12","j31","k8"
"i12","j32","k17"
"i12","j32","k21"
"i12","j32","k33"
"i12","j33","k13"
"i12","j34","k7"
"i12","j34","k33"
"i12","j35","k26"
"i12","j36","k35"
"i12","j38","k26"
"i12","j41","k27"
"i12","j43","k22"
"i12","j45","k33"
"i12","j45","k37"
"i12","j46","k14"
"i12","j48","k10"
"i12","j48","k27"
"i12","j48","k29"
"i12","j49","k15"
"i12","j49","k40"
"i13","j2","k3"
"i13","j2","k12"
"i13","j3","k15"
"i13","j4","k23"
"i13","j4","k33"
"i13","j4","k37"
"i13","j5","k12"
"i13","j5","k22"
"i13","j6","k13"
"i13","j7","k1"
"i13","j8","k8"
"i13","j8","k18"
"i13","j8","k28"
"i13","j9","k17"
"i13","j11","k7"
"i13","j12","k1"
"i13","j13","k13"
"i13","j13","k27"
"i13","j14","k16"
"i13","j15","k6"
"i13","j18","k13"
"i13","j18","k28"
"i13","j20","k30"
"i13","j21","k33"
"i13","j22","k1"
"i13","j22","k30"
"i13","j23","k4"
"i13","j23","k10"
"i13","j24","k12"
"i13","j24","k21"
"i13","j25","k38"
"i13","j27","k6"
"i13","j33","k8"
"i13","j33","k27"
"i13","j34","k1"
"i13","j34","k20"
"i13","j35","k1"
"i13","j35","k27"
"i13","j35","k29"
"i13","j36","k26"
"i13","j36","k39"
"i13","j38","k15"
"i13","j42","k32"
"i13","j44","k5"
"i13","j45","k1"
"i13","j46","k11"
"i13","j46","k39"
"i13","j46","k40"
"i13","j47","k14"
"i13","j49","k3"
"i13","j49","k4"
"i14","j1","k29"
"i14","j1","k38"
"i14","j2","k2"
"i14","j4","k13"
"i14","j5","k10"
"i14","j6","k2"
"i14","j6","k7"
"i14","j8","k22"
"i14","j10","k9"
"i14","j13","k29"
"i14","j15","k7"
"i14","j19","k7"
"i14","j20","k27"
"i14","j20","k31"
"i14","j23","k28"
"i14","j26","k18"
"i14","j26","k27"
"i14","j30","k24"
"i14","j33","k19"
"i14","j33","k21"
"i14","j35","k10"
"i14","j36","k13"
"i14","j37","k15"
"i14","j37","k32"
"i14","j38","k3"
"i14","j38","k37"
"i14","j38","k40"
"i14","j40","k27"
"i14","j41","k23"
"i14","j42","k26"
"i14","j43","k30"
"i14","j48","k39"
"i14","j49","k2"
"i14","j49","k33"
"i14","j50","k8"
"i15","j2","k9"
"i15","j2","k35"
"i15","j4","k3"
"i15","j5","k5"
"i15","j7","k23"
"i15","j9","k39"
"i15","j14","k15"
"i15","j18","k6"
"i15","j20","k1"
"i15","j20","k24"
"i15","j22","k9"
"i15","j22","k14"
"i15","j22","k27"
"i15","j23","k9"
"i15","j24","k19"
"i15","j26","k1"
"i15","j26","k13"
"i15","j29","k39"
"i15","j31","k5"
"i15","j34","k19"
"i15","j34","k32"
"i15","j35","k9"
"i15","j35","k37"
"i15","j37","k32"
"i15","j42","k2"
"i15","j43","k14"
"i15","j43","k18"
"i15","j44","k39"
"i15","j45","k8"
"i15","j46","k23"
"i15","j46","k24"
"i15","j46","k37"
"i15","j48","k7"
"i15","j48","k17"
"i16","j1","k16"
"i16","j7","k39"
"i16","j8","k31"
"i16","j8","k37"
"i16","j9","k31"
"i16","j10","k40"
"i16","j11","k20"
"i16","j12","k32"
"i16","j16","k2"
"i16","j16","k11"
"i16","j16","k40"
"i16","j17","k38"
"i16","j20","k31"
"i16","j21","k1"
"i16","j21","k17"
"i16","j22","k11"
"i16","j23","k31"
"i16","j24","k37"
"i16","j26","k23"
"i16","j26","k33"
"i16","j27","k38"
"i16","j28","k22"
"i16","j28","k34"
"i16","j29","k15"
"i16","j29","k18"
"i16","j30","k37"
"i16","j33","k6"
"i16","j33","k11"
"i16","j33","k25"
"i16","j33","k27"
"i16","j35","k10"
"i16","j35","k22"
"i16","j38","k12"
"i16","j38","k33"
"i16","j39","k2"
"i16","j39","k5"
"i16","j39","k11"
"i16","j39","k38"
"i16","j40","k7"
"i16","j44","k10"
"i16","j44","k39"
"i16","j46","k12"
"i16","j47","k15"
"i16","j50","k9"
"i17","j6","k27"
"i17","j9","k21"
"i17","j9","k38"
"i17","j10","k37"
"i17","j12","k38"
"i17","j13","k10"
"i17","j14","k21"
"i17","j15","k15"
"i17","j16","k11"
"i17","j17","k1"
"i17","j19","k3"
"i17","j19","k17"
"i17","j19","k20"
"i17","j20","k13"
"i17","j20","k18"
"i17","j22","k15"
"i17","j23","k7"
"i17","j25","k19"
"i17","j29","k17"
"i17","j30","k3"
"i17","j30","k9"
"i17","j30","k40"
"i17","j32","k1"
"i17","j33","k19"
"i17","j34","k12"
"i17","j34","k26"
"i17","j34","k32"
"i17","j37","k34"
"i17","j38","k13"
"i17","j39","k37"
"i17","j44","k33"
"i17","j46","k36"
"i17","j47","k28"
"i17","j48","k24"
"i18","j2","k12"
"i18","j4","k20"
"i18","j4","k39"
"i18","j6","k9"
"i18","j8","k24"
"i18","j9","k7"
"i18","j9","k22"
"i18","j11","k1"
"i18","j12","k5"
"i18","j12","k13"
"i18","j13","k15"
"i18","j16","k9"
"i18","j17","k4"
"i18","j17","k18"
"i18","j18","k10"
"i18","j18","k28"
"i18","j24","k15"
"i18","j28","k17"
"i18","j30","k4"
"i18","j31","k28"
"i18","j31","k30"
"i18","j32","k7"
"i18","j33","k20"
"i18","j33","k31"
"i18","j35","k21"
"i18","j35","k35"
"i18","j37","k8"
"i18","j39","k17"
"i18","j39","k27"
"i18","j40","k7"
"i18","j41","k8"
"i18","j41","k17"
"i18","j42","k27"
"i18","j43","k28"
"i18","j46","k27"
"i18","j48","k14"
"i18","j48","k30"
"i18","j50","k4"
"i18","j50","k35"
"i19","j1","k20"
"i19","j2","k1"
"i19","j2","k21"
"i19","j3","k1"
"i19","j6","k20"
"i19","j7","k32"
"i19","j8","k21"
"i19","j8","k31"
"i19","j9","k2"
"i19","j12","k9"
"i19","j14","k39"
"i19","j15","k3"
"i19","j17","k25"
"i19","j17","k33"
"i19","j18","k31"
"i19","j21","k38"
"i19","j23","k15"
"i19","j23","k23"
"i19","j24","k33"
"i19","j27","k38"
"i19","j28","k7"
"i19","j29","k1"
"i19","j30","k27"
"i19","j33","k3"
"i19","j33","k35"
"i19","j34","k10"
"i19","j38","k9"
"i19","j38","k18"
"i19","j39","k25"
"i19","j41","k32"
"i19","j41","k34"
"i19","j44","k12"
"i19","j45","k32"
"i19","j47","k26"
"i19","j49","k13"
"i20","j1","k2"
"i20","j1","k12"
"i20","j2","k10"
"i20","j2","k22"
"i20","j2","k24"
"i20","j4","k4"
"i20","j4","k30"
"i20","j5","k5"
"i20","j7","k4"
"i20","j8","k30"
"i20","j11","k2"
"i20","j11","k17"
"i20","j12","k14"
"i20","j12","k18"
"i20","j19","k15"
"i20","j21","k25"
"i20","j23","k10"
"i20","j23","k17"
"i20","j23","k19"
"i20","j23","k34"
"i20","j25","k35"
"i20","j26","k28"
"i20","j28","k26"
"i20","j28","k30"
"i20","j30","k33"
"i20","j31","k29"
"i20","j32","k28"
"i20","j33","k8"
"i20","j34","k34"
"i20","j35","k4"
"i20","j35","k33"
"i20","j36","k34"
"i20","j37","k1"
"i20","j37","k38"
"i20","j39","k11"
"i20","j40","k25"
"i20","j41","k15"
"i20","j44","k24"
"i20","j44","k34"
"i20","j45","k6"
"i20","j45","k8"
"i20","j46","k23"
"i20","j47","k7"
"i20","j47","k39"
"i20","j48","k32"
